	Name	Version	Author	Number of Nodes	Number of Namespaces	Number of Edges	Number of Annotations	Number of Citations	Number of Authors	Network Density	Number of Components	Number of Warnings
heme_19276082.bel	HemeKG	0.0.1-dev	Farah Humayun and Daniel Domingo-Fernández	25	7	65	4	1	5	1.08E-01	2	0
heme_20378845.bel	heme_20378845.bel	1.0.0	Farah Humayun	52	7	128	3	1	13	4.83E-02	2	0
heme_22954673.bel	heme_22954673.bel	1.0.0	Farah Humayun	13	4	21	5	1	8	1.35E-01	1	0
heme_23215741.bel	heme_23215741.bel	1.0.0	Farah Humayun	13	5	50	3	1	4	3.21E-01	1	0
heme_24464629.bel	heme_24464629.bel	1.0.0	Farah Humayun	21	6	68	5	1	8	1.62E-01	2	0
heme_24486321.bel	heme_24486321.bel	1.0.0	Farah Humayun	22	5	33	2	1	9	7.14E-02	2	0
heme_24489717.bel	heme_24489717.bel	1.0.0	Farah Humayun	17	4	26	4	1	16	9.56E-02	1	0
heme_24553061.bel	heme_24553061.bel	1.0.0	Farah Humayun	9	3	13	1	1	4	1.81E-01	1	0
heme_24630724.bel	heme_24630724.bel	1.0.0	Farah Humayun	10	3	17	2	1	16	1.89E-01	2	0
heme_24667910.bel	heme_24667910.bel	1.0.0	Farah Humayun	11	6	31	3	1	6	2.82E-01	1	0
heme_24904418.bel	heme_24904418.bel	1.0.2	Farah Humayun	126	8	222	4	1	2	1.41E-02	6	0
heme_25264713.bel	heme_25264713.bel	1.0.0	Farah Humayun	12	5	26	3	1	9	1.97E-01	1	0
heme_25301065.bel	heme_25301065.bel	1.0.0	Farah Humayun	25	6	45	1	1	13	7.50E-02	2	0
heme_25307023.bel	heme_25307023.bel	1.0.0	Farah Humayun	114	6	267	4	1	2	2.07E-02	2	0
heme_25411909.bel	heme_25411909.bel	1.0.0	Farah Humayun	26	5	70	3	1	3	1.08E-01	1	0
heme_26202471.bel	heme_26202471.bel	1.0.0	Farah Humayun	13	6	36	2	1	5	2.31E-01	2	0
heme_26337933.bel	heme_26337933.bel	1.0.0	Farah Humayun	11	3	22	5	1	5	2.00E-01	1	0
heme_26368565.bel	heme_26368565.bel	1.0.0	Farah Humayun	21	4	40	4	1	8	9.52E-02	1	0
heme_26475040.bel	heme_26475040.bel	1.0.0	Farah Humayun	12	4	13	2	1	6	9.85E-02	1	0
heme_26675351.bel	heme_26675351.bel	1.0.0	Farah Humayun	50	9	133	5	1	9	5.43E-02	1	0
heme_26794659.bel	heme_26794659.bel	1.0.0	Farah Humayun	34	5	67	7	1	9	5.97E-02	1	0
heme_26875449.bel	heme_26875449.bel	1.0.2	Farah Humayun	59	8	85	4	1	4	2.48E-02	2	0
heme_26974230.bel	heme_26974230.bel	1.0.0	Farah Humayun	20	6	33	3	1	3	8.68E-02	1	0
heme_27125525.bel	heme_27125525.bel	1.0.0	Farah Humayun	18	5	72	4	1	6	2.35E-01	1	0
heme_27308950.bel	heme_27308950.bel	1.0.1	Farah Humayun	29	5	44	3	1	8	5.42E-02	2	0
heme_27515135.bel	heme_27515135.bel	1.0.0	Farah Humayun	31	6	107	5	1	13	1.15E-01	1	0
heme_27798618.bel	heme_27798618.bel	1.0.0	Farah Humayun	15	4	50	5	1	28	2.38E-01	1	0
heme_28088643.bel	heme_28088643.bel	1.0.1	Farah Humayun	13	4	33	3	1	4	2.12E-01	1	0
heme_28143953.bel	heme_28143953.bel	1.0.0	Farah Humayun	36	7	77	4	1	16	6.11E-02	2	0
heme_28314763.bel	heme 28314763.bel	1.0.2	Farah Humayun	30	6	41	4	1	7	4.71E-02	3	0
heme_28400318.bel	heme_28400318.bel	1.0.0	Farah Humayun	39	8	60	2	1	15	4.05E-02	1	0
heme_28458720.bel	heme_28458720.bel	1.0.0	Farah Humayun	62	6	119	4	1	2	3.15E-02	1	0
heme_28716864.bel	heme_28716864.bel	1.0.0	Farah Humayun	27	7	50	4	1	12	7.12E-02	2	0
heme_29212341.bel	heme_29212341.bel	1.0.0	Farah Humayun	24	4	64	3	1	8	1.16E-01	1	0
heme_29351418.bel	heme_29351418.bel	1.0.0	Farah Humayun	23	5	45	3	1	14	8.89E-02	2	0
heme_29522519.bel	heme_29522519.bel	1.0.0	Farah Humayun	15	5	34	3	1	15	1.62E-01	1	0
heme_29544683.bel	heme_29544683.bel	1.0.2	Farah Humayun	16	5	35	4	1	8	1.46E-01	1	0
heme_29603246.bel	heme_29603246.bel	1.0.0	Farah Humayun	16	5	64	4	1	13	2.67E-01	1	0
heme_29610666.bel	heme_29610666.bel	1.0.0	Farah Humayun	23	6	41	4	1	7	8.10E-02	1	0
heme_29694434.bel	heme_29694434.bel	1.0.0	Farah Humayun	27	6	88	5	1	13	1.25E-01	1	0
heme_29929138.bel	heme_29929138.bel	1.0.1	Farah Humayun	49	6	117	4	1	6	4.97E-02	1	0
heme_29956069.bel	heme_29956069.bel	1.0.1	Farah Humayun	105	8	175	4	1	2	1.60E-02	8	0
heme_30248094.bel	heme_30248094.bel	1.0.0	Farah Humayun	13	6	20	4	1	6	1.28E-01	3	0
heme_30281034.bel	heme_30281034.bel	1.0.0	Farah Humayun	29	6	33	3	1	2	4.06E-02	3	0
heme_30324533.bel	heme_30324533.bel	1.0.0	Farah Humayun	23	6	66	3	1	4	1.30E-01	1	0
heme_30505280.bel	heme_30505280.bel	1.0.0	Farah Humayun	27	6	70	3	1	5	9.97E-02	1	0
