Line Number	Position	Line	Error	Message
123	2	p(mgi:1889810 ! Gp6) pos a(HM:Thrombus)	UndefinedNamespaceWarning	"""mgi"" is not a defined namespace"
165	34	"a(CHEBI:""iron trichloride"") pos p(hgnc:4827 ! HBB)"	UndefinedNamespaceWarning	"""hgnc"" is not a defined namespace"
175	34	"a(CHEBI:""iron trichloride"") pos p(hgnc:4827 ! HBB)"	UndefinedNamespaceWarning	"""hgnc"" is not a defined namespace"
176	37	"a(CHEBI:""iron trichloride"") pos path(mesh:D006461 ! Hemolysis)"	UndefinedNamespaceWarning	"""mesh"" is not a defined namespace"
193	39	"complex(a(CHEBI:""iron trichloride""), a(chebi:17423 ! methemoglobin)) pos path(HM:""Endothelial dysfunction"")"	UndefinedNamespaceWarning	"""chebi"" is not a defined namespace"
221	2	p(hgnc:4827 ! HBB) pos path(mesh:D006461 ! Hemolysis)	UndefinedNamespaceWarning	"""hgnc"" is not a defined namespace"
222	5	"path(mesh:D006461 ! Hemolysis) pos path(MESH:""Vascular System Injuries"")"	UndefinedNamespaceWarning	"""mesh"" is not a defined namespace"
223	5	path(mesh:D006461 ! Hemolysis) pos path(mesh:D013927 ! Thrombosis)	UndefinedNamespaceWarning	"""mesh"" is not a defined namespace"
231	39	"complex(a(CHEBI:""iron trichloride""), a(chebi:17423 ! methemoglobin)) pos path(HM:""Endothelial dysfunction"")"	UndefinedNamespaceWarning	"""chebi"" is not a defined namespace"
237	2	"a(chebi:30413 ! heme) pos bp(GO:""regulation of vascular permeability"")"	UndefinedNamespaceWarning	"""chebi"" is not a defined namespace"
238	2	a(chebi:30413 ! heme) pos p(mgi:96392 ! Icam1)	UndefinedNamespaceWarning	"""chebi"" is not a defined namespace"
239	2	a(chebi:30413 ! heme) pos p(mgi:98926 ! Vcam1)	UndefinedNamespaceWarning	"""chebi"" is not a defined namespace"
240	2	a(chebi:30413 ! heme) pos p(mgi:98278 ! Sele)	UndefinedNamespaceWarning	"""chebi"" is not a defined namespace"
247	2	"a(chebi:30413 ! heme) pos bp(GO:""leukocyte adhesion to vascular endothelial cell"")"	UndefinedNamespaceWarning	"""chebi"" is not a defined namespace"
253	16	"rxn(reactants(p(hgnc:4827 ! HBB), a(chebi:18421 ! superoxide)), products(a(CHEBI:""hydrogen peroxide""))) pos path(MESH:""Vascular System Injuries"")"	UndefinedNamespaceWarning	"""hgnc"" is not a defined namespace"
260	2	"p(mgi:96163 ! Hmox1) neg path(MESH:""Vascular System Injuries"")"	UndefinedNamespaceWarning	"""mgi"" is not a defined namespace"
261	2	p(mgi:96163 ! Hmox1) neg path(mesh:D013927 ! Thrombosis)	UndefinedNamespaceWarning	"""mgi"" is not a defined namespace"
